  Rang,month,day,hour,= Production brute des centrales d'HQP (MWh),- Consommation des centrales d'HQP (MWh),+ Électricité reçue par HQP aux points de raccordement des centrales et des interconnexions (MWh),+ Consommation attribuable à la puissance interruptible mise à la disposition d'HQP majorée des pertes de transport (MWh),production,- Volume des engagements du Producteur envers des tiers (MWh),= Volume d'électricité fournie par le Producteur au Distributeur (MWh),- Volume des approvisionnements hors patrimoniaux provenant d'HQP (MWh),= Volume d'électricité mobilisée par le Distributeur au titre de l'électricité patrimoniale (MWh)," Volume d'électricité patrimoniale
(bâtonnets affectés) (MWh)", Volume d'électricité mobilisée par le Distributeur en dépassement de l'électricité patrimoniale (MWh), Coût unitaire du dépassement ($/MWh),= Coût total horaire ($),(DAM HQ + TSC NYPA-HQ + NTAC + SC NYISO) * T ($/MWh)
,,,,1,2,3,4,5=1-2+3+4,6,7=5-6,8,9=7-8,10,11,12,13=11x12,14
1,1,1,1,"21,065",51,"7,984",0,"28,998","5,658","23,340",1817,"21,523",22351,0,110.00,0,21.95
2,1,1,2,"20,976",51,"7,922",0,"28,847","5,659","23,188",1817,"21,371",22248,0,110.00,0,21.07
3,1,1,3,"20,707",51,"7,960",0,"28,616","5,471","23,145",1817,"21,328",22231,0,110.00,0,21.50
4,1,1,4,"20,448",50,"8,047",0,"28,445","5,328","23,117",1817,"21,299",22205,0,110.00,0,21.84
5,1,1,5,"21,194",51,"7,903",0,"29,046","5,523","23,524",1817,"21,707",22489,0,110.00,0,19.20
6,1,1,6,"22,022",51,"7,956",0,"29,926","5,480","24,446",1817,"22,629",23118,0,110.00,0,18.06
7,1,1,7,"22,861",52,"7,792",0,"30,600","5,435","25,165",1817,"23,348",23709,0,110.00,0,19.20
8,1,1,8,"23,564",53,"7,514",0,"31,026","5,419","25,607",1817,"23,790",23994,0,110.00,0,19.20
9,1,1,9,"23,641",53,"7,261",0,"30,848","5,294","25,554",1817,"23,737",23932,0,110.00,0,21.93
