,production
641,32912
642,31275
643,30242
644,29961
645,29176
646,29331
647,29095
648,30676
649,31242
650,32134
651,32060
652,32552
653,32475
654,32918
655,32796
656,32615
657,31809
658,31674
659,32129
660,32845
661,32048
662,33028
663,33609
664,34018
665,32923
666,31501
667,30625
668,30882
669,30788
670,31656
671,31728
672,32750
673,33172
674,33910
675,34618
676,34134
677,34885
678,35117
679,34230
680,32612
681,31504
682,31336
683,31495
684,31815
685,31999
686,32368
687,33176
688,33300
689,31770
690,28857
691,26503
692,25402
693,25085
694,24752
695,25392
696,27188
697,27888
698,30425
699,31671
700,32066
701,32929
702,33514
703,33052
704,31358
705,30717
706,30718
707,31226
708,31150
709,31254
710,30993
711,32117
712,31944
713,30782
714,28533
715,27396
716,27022
717,27130
718,28062
719,29123
720,29742
721,30766
722,32787
723,33106
724,33776
725,33995
726,34819
727,33455
728,31315
729,30353
730,29894
731,29500
732,29951
733,30309
734,31056
735,32189
736,32322
737,31916
738,29925
739,28185
740,26721
741,26619
742,26617
743,27363
744,28592
745,29758
746,31771
747,32722
748,33205
749,33718
750,33864
751,33384
752,31445
753,30625
754,30457
755,30574
756,30676
757,31138
758,31954
759,32923
760,33628
761,32601
762,31167
763,29751
764,28375
765,28382
766,28435
767,28824
768,29948
769,30769
770,31331
771,32966
772,33553
773,34190
774,34453
775,33610
776,31868
777,30745
778,30641
779,31098
780,31822
781,32292
782,32336
783,33112
784,33853
785,33060
786,30693
787,29659
788,29406
789,28521
790,28342
791,28518
792,29394
793,30206
794,31147
795,31846
796,32204
797,32542
798,33316
799,32428
800,30707
801,29847
802,29660
803,29963
804,30078
805,30059
806,30663
807,31244
808,32784
809,31111
810,29661
811,28890
812,28388
813,29146
814,29283
815,29296
816,29682
817,30198
818,30996
819,31533
820,31864
821,32439
822,32874
823,31887
824,31207
825,30295
826,30297
827,30493
828,30753
829,31021
830,30912
831,31152
832,30340
833,28892
834,27816
835,27443
836,26858
837,26632
838,26599
839,27086
840,27596
841,28349
842,29299
843,29733
844,30647
845,30851
846,31100
847,30822
848,29593
849,29632
850,30257
851,30490
852,30627
853,30244
854,30256
855,30798
856,30111
857,28428
858,26229
859,24525
860,23898
861,23772
862,24789
863,25938
864,26317
865,27230
866,29327
867,29889
868,30247
869,31051
870,31313
871,30914
872,29964
873,29470
874,29462
875,29488
876,29786
877,30365
878,30556
879,31359
880,31321
881,29674
882,26984
883,26031
884,25513
885,25359
886,25358
887,25436
888,27119
889,28363
890,29705
891,30837
892,31397
893,32131
894,32043
895,31031
896,28404
897,26939
898,26722
899,26548
900,27264
901,28514
902,30273
903,30754
904,32124
905,30847
906,30636
907,28654
908,27441
909,27606
910,28092
911,28199
912,28385
913,30546
914,31435
915,32237
916,32708
917,32424
918,31708
919,31407
920,31422
921,30423
922,30025
923,29206
924,29285
925,29828
926,29678
927,30096
928,30171
929,29359
930,29207
931,26843
932,26048
933,25500
934,25714
935,25743
936,26848
937,27856
938,28834
939,29318
940,30143
941,30343
942,30407
943,30166
944,27605
945,26697
946,26191
947,26662
948,27467
949,26599
950,27762
951,28219
952,27637
953,26128
954,23677
955,22648
956,22389
957,22483
958,22312
959,22661
960,23017
961,24153
962,24601
963,25356
964,26187
965,27566
966,29025
967,27377
968,25684
969,26073
970,27024
971,26913
972,28147
973,26922
974,27031
975,27204
976,27024
977,26046
978,25528
979,24766
980,24275
981,24927
982,24115
983,25650
984,25573
985,26125
986,26914
987,27457
988,27940
989,28589
990,29047
991,28378
992,26790
993,25261
994,25544
995,25572
996,26172
997,26484
998,26703
999,27349
1000,28068
1001,27156
